Date,Region,Product,Units,Unit_Price
2026-01-03,North,Laptop,5,750
2026-01-05,South,Phone,12,450
2026-01-08,East,Tablet,8,300
2026-01-12,West,Laptop,4,750
2026-02-02,North,Phone,10,450
2026-02-06,South,Tablet,9,300
2026-02-11,East,Laptop,6,750
2026-02-15,West,Phone,11,450
2026-03-03,North,Tablet,7,300
2026-03-08,South,Laptop,5,750
2026-03-13,East,Phone,13,450
2026-03-19,West,Tablet,10,300
2026-04-04,North,Laptop,7,750
2026-04-09,South,Phone,14,450
2026-04-15,East,Tablet,11,300
2026-04-21,West,Laptop,6,750
2026-05-02,North,Phone,9,450
2026-05-07,South,Tablet,12,300
2026-05-14,East,Laptop,5,750
2026-05-25,West,Phone,10,450
